in:Index,out:WWR_Skylight,out:WWR_Skylight_Vertical_Shading_Divided,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Overhang_Angle,out:Overhang_Length,out:Overhang_Movement_Distance,out:Vertical_Shading_Number,out:Vertical_Shading_Width,out:Vertical_Shading_Length,out:W_Skylight_Vertical_Shading_Divided,out:Vertiacl_Shading_Top_Left_Movement_Distance,out:Vertiacl_Shading_Top_Right_Movement_Distance,out:Hypervolume,out:Rank,out:EUI,out:sDA,out:sGA,out:UDI,out:SVF,out:PMV
313,60,49,2.3,7.0,0.7,0.0,0.9,25,1.1,6.1,1.0,0.1,0.0,0,-60,1.0,0.1,4,0.4,0.9,1.93,0.15,0.05,1.0,83.265,1.0,0.842593,68.447253,30.919141,6,-999
321,55,54,2.2,6.7,0.8,0.3,0.9,10,0.8,3.4,2.0,2.5,0.3,0,-60,0.9,0.0,7,0.02,1.0,1.1,0.0,0.0,0.969136,81.824,0.969136,0.932099,77.220062,21.813765,5,-999
323,70,59,2.5,7.6,0.5,0.3,0.0,25,1.1,6.1,0.8,0.0,0.1,0,-50,0.8,0.0,2,1.2,0.7,6.4,0.95,0.05,1.0,84.294,1.0,0.737654,56.276667,39.534702,8,-999
351,45,31,2.5,4.9,0.5,1.6,1.4,10,0.8,3.4,2.0,1.2,1.6,0,-80,0.9,0.4,3,1.0,0.1,1.65,0.15,0.4,0.882716,82.236,0.882716,0.944444,77.652469,40.259398,3,-999
352,60,37,2.6,6.2,0.4,1.2,0.5,10,0.6,4.5,2.0,0.6,1.1,0,-80,0.7,0.3,3,1.2,0.1,1.9,0.3,0.0,0.969136,82.75,0.969136,0.935185,77.046605,40.959352,6,-999
364,35,32,1.3,7.3,0.8,0.6,0.0,10,0.6,4.5,2.0,1.2,0.5,0,-80,0.8,0.0,2,0.7,0.1,6.6,0.0,0.45,0.901235,82.51,0.901235,0.916667,75.29142,40.165005,1,-999
366,40,33,2.3,4.7,0.7,1.5,1.7,10,0.6,4.5,2.0,0.7,1.0,0,-80,1.2,0.5,5,0.3,0.1,0.97,0.05,0.0,0.941358,81.481,0.941358,0.941358,76.888981,39.861565,2,-999
367,40,31,2.6,4.2,0.4,1.0,2.7,10,0.6,4.5,2.0,0.2,1.5,0,-80,0.7,0.3,3,0.8,0.1,1.6,0.0,0.05,0.891975,82.167,0.891975,0.950617,77.687963,39.801521,2,-999
372,40,33,2.6,4.2,0.4,1.4,2.3,10,0.8,3.4,2.0,2.4,0.4,0,-30,1.0,0.0,5,0.2,0.4,0.85,0.1,0.1,0.833333,81.139,0.833333,0.975309,78.319444,31.575161,2,-999
381,50,36,2.4,5.6,0.6,1.8,0.5,20,1.5,3.6,1.0,0.6,2.0,0,-80,0.8,0.2,6,0.3,0.7,0.82,0.15,0.15,0.978395,82.373,0.978395,0.953704,76.858364,27.447905,4,-999
382,70,37,2.5,7.6,0.5,0.3,0.0,10,0.8,3.4,2.0,0.4,2.4,0,-80,0.5,0.0,4,1.2,1.0,1.33,1.05,0.15,0.910494,82.373,0.910494,0.962963,78.585216,32.341076,8,-999
