in:Index,img:Output1,img:Output2,img:Output3,out:WWR_Skylight,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Frame_BL,out:Frame_BR,out:Frame_TR,out:Frame_TL,out:Hypervolume,out:Rank,out:EUI,out:sDA,out:sGA,out:UDI,out:SVF
884,Index_884_Parallel.png,Index_884_Back.png,Index_884_Front.png,45,1.7,7.1,0.9,0.6,0.2,15,1.1,3.7,1,0,2.5,-180,1.5,0.1,0.1,0.9,7134.55,5,86.317,1,0.58,57.285,33.967
885,Index_885_Parallel.png,Index_885_Back.png,Index_885_Front.png,35,1.3,7.3,1,0.4,0.2,15,0.7,5.8,2,0.1,0.3,-180,0.3,0.4,0.4,1.4,7136.937,1,84.465,0.997,0.815,72.842,21.837
886,Index_886_Parallel.png,Index_886_Back.png,Index_886_Front.png,45,2.4,5.1,0.6,1.1,1.7,15,1.2,3.4,1,1.4,1.4,-180,0.9,1.3,1,0.5,7167.541,4,85.905,1,0.602,60.559,30.303
887,Index_887_Parallel.png,Index_887_Back.png,Index_887_Front.png,50,2.4,5.6,0.6,0.3,2,10,0.8,3.4,2,0.2,2.6,-180,1.1,0.3,1.5,1,7172.237,3,84.842,1,0.713,66.612,24.512
888,Index_888_Parallel.png,Index_888_Back.png,Index_888_Front.png,30,1.2,6.8,0.9,1.1,0,25,1.1,6.1,1,0,0.1,-180,0.5,0.6,1.5,1.3,7175.193,0,83.676,0.985,0.914,77.639,19.942
889,Index_889_Parallel.png,Index_889_Back.png,Index_889_Front.png,45,1.8,6.8,1,0.7,0.4,10,0.8,3.4,2,0,2.8,-180,0.9,1.2,0.9,0.9,7181.086,3,84.945,1,0.651,64.517,25.849
890,Index_890_Parallel.png,Index_890_Back.png,Index_890_Front.png,30,1.2,6.8,0.8,0,1.1,10,0.8,3.4,2,1.7,1.1,-180,0.1,1.2,0.3,1.5,7181.356,1,83.951,0.855,0.877,73.033,21.83
891,Index_891_Parallel.png,Index_891_Back.png,Index_891_Front.png,30,1.2,6.8,0.9,0.8,0.3,10,0.6,4.5,2,1.1,0.6,-180,1.5,0.1,1.5,0.3,7188.516,1,83.985,0.886,0.855,73.092,21.772
892,Index_892_Parallel.png,Index_892_Back.png,Index_892_Front.png,35,1.6,5.9,0.8,1.1,0.9,25,1.8,3.8,1,2,0.4,-180,0.1,1.5,0.7,0.8,7190.093,3,85.357,1,0.759,66.128,25.285
893,Index_893_Parallel.png,Index_893_Back.png,Index_893_Front.png,45,2.1,5.8,0.9,2,0.1,15,1.2,3.4,0.8,0.4,2.4,-180,0.3,1.4,0.4,0.7,7203.132,5,86.385,1,0.596,57.846,33.807
894,Index_894_Parallel.png,Index_894_Back.png,Index_894_Front.png,30,1.2,6.8,0.8,0.8,0.3,25,1.1,6.1,1,0.1,0,-180,0.8,0.8,1.5,1.2,7215.707,1,83.711,0.988,0.92,76.586,20.124
895,Index_895_Parallel.png,Index_895_Back.png,Index_895_Front.png,30,2,4,0.8,1.2,2.7,10,0.7,3.9,2,1.5,0.8,-180,1.5,0.2,1.5,0.7,7251.589,1,84.019,0.87,0.867,73.815,21.782
896,Index_896_Parallel.png,Index_896_Back.png,Index_896_Front.png,30,1.3,6.2,1,0.8,0.9,30,1.8,4.5,0.9,1.3,0.4,-180,0.9,0.7,0.2,0.8,7258.041,1,85.425,1,0.747,63.824,26.451
897,Index_897_Parallel.png,Index_897_Back.png,Index_897_Front.png,30,1.2,6.8,1,0,1.1,15,0.7,5.8,2,0.4,0,-180,1.4,1.5,0.1,1.5,7268.623,1,84.225,0.988,0.802,71.183,22.17
898,Index_898_Parallel.png,Index_898_Back.png,Index_898_Front.png,40,1.4,7.7,0.8,0,0.2,15,1.2,3.4,0.9,0.9,1.9,-180,1.3,1.2,0.3,0.3,7273.229,5,86.523,1,0.586,56.224,35.992
899,Index_899_Parallel.png,Index_899_Back.png,Index_899_Front.png,50,2.6,5.2,0.4,2.6,0.1,10,0.8,3.4,2,1.9,0.9,-180,1.1,0.9,1.4,1,7281.982,3,85.185,0.997,0.725,66.986,25.103
900,Index_900_Parallel.png,Index_900_Back.png,Index_900_Front.png,40,1.4,7.7,0.8,0,0.2,20,0.9,6,0.9,0.2,0,-180,1.3,0.4,1.5,1.5,7291.578,0,83.539,1,0.87,73.514,20.66
901,Index_901_Parallel.png,Index_901_Back.png,Index_901_Front.png,40,1.4,7.7,0.9,0.2,0,20,1.5,3.6,0.8,0.6,2,-180,0.6,1.5,0.7,1.3,7308.91,1,84.465,1,0.759,66.472,23.875
902,Index_902_Parallel.png,Index_902_Back.png,Index_902_Front.png,35,2.2,4.3,0.8,0.1,3.5,30,1.4,5.8,0.8,0.1,0.3,-180,1.1,0.2,1.5,1.4,7310.479,0,84.636,1,0.806,68.726,23.239
903,Index_903_Parallel.png,Index_903_Back.png,Index_903_Front.png,30,1.4,5.8,1,1.4,0.7,30,1.4,5.8,1,0.1,0.3,-180,0.9,1.1,0.2,0.6,7351.985,3,85.871,1,0.716,61.285,29.084
904,Index_904_Parallel.png,Index_904_Back.png,Index_904_Front.png,40,2.1,5.1,0.8,0.4,2.4,25,1.1,6.1,0.8,0.1,0,-180,0.3,0.8,1.4,0.2,7352.569,3,85.905,1,0.657,60.431,30.213
905,Index_905_Parallel.png,Index_905_Back.png,Index_905_Front.png,30,2,4,0.9,2.7,1.2,10,0.8,3.4,2,0.4,2.4,-180,1.1,0.8,0.7,1.4,7356.732,1,83.916,0.802,0.833,72.844,22.615
906,Index_906_Parallel.png,Index_906_Back.png,Index_906_Front.png,30,2,4,1,2.6,1.3,30,1.9,4.3,1,0.9,1,-180,0.2,0.2,0.7,0.9,7365.99,2,85.391,1,0.787,69.087,24.535
907,Index_907_Parallel.png,Index_907_Back.png,Index_907_Front.png,35,2,4.7,0.8,0.2,3,25,1.6,4.2,0.8,0,2,-180,1.3,1.2,1.5,0.8,7402.554,0,84.602,1,0.787,67.882,23.647
908,Index_908_Parallel.png,Index_908_Back.png,Index_908_Front.png,30,1.2,6.8,0.9,1.1,0,20,0.9,6,1,0.2,0,-180,0.6,0.6,1.5,1.3,7415.777,0,83.436,0.975,0.917,78.203,19.919
909,Index_909_Parallel.png,Index_909_Back.png,Index_909_Front.png,35,1.3,7.3,1,0,0.6,30,1.4,5.8,0.9,0.3,0.1,-180,0.2,0.2,0.9,0.3,7447.601,3,85.768,1,0.728,63.09,28.054
