in:Index,img:Output1,img:Output2,img:Output3,img:Output4,out:WWR_Skylight,out:WWR_Skylight_Vertical_Shading_Divided,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Overhang_Angle,out:Overhang_Length,out:Overhang_Movement_Distance,out:Vertical_Shading_Number,out:Vertical_Shading_Width,out:Vertical_Shading_Length,out:W_Skylight_Vertical_Shading_Divided,out:Vertiacl_Shading_Top_Left_Movement_Distance,out:Vertiacl_Shading_Top_Right_Movement_Distance,out:Hypervolume,out:Rank,out:EUI,out:sDA,out:sGA,out:UDI,out:SVF
50,Index_50_Parallel.png,Index_50_Back.png,Index_50_Front.png,Index_50_Top.png,30,29,2,4,0.8,0,3.9,10,0.6,4.5,2,0.5,1.2,-180,80,1.3,0.2,5,0.02,1.4,0.98,0,0,,6,81.687,0.256173,0.9074,73.08,12.02
51,Index_51_Parallel.png,Index_51_Back.png,Index_51_Front.png,Index_51_Top.png,30,29,1.4,5.8,0.8,0.8,1.3,25,1.9,3.6,1,2.4,0.2,-180,60,1.1,0.9,7,0.02,1.4,0.95,0,0,,4,81.824,0.839506,0.9321,77.46,13
52,Index_52_Parallel.png,Index_52_Back.png,Index_52_Front.png,Index_52_Top.png,30,29,1.4,5.8,0.8,1.5,0.6,35,1.9,5,1,0.8,0.4,-180,60,1,0.9,7,0.02,1.4,0.95,0,0,,5,82.373,0.962963,0.929,76.13,14.19
53,Index_53_Parallel.png,Index_53_Back.png,Index_53_Front.png,Index_53_Top.png,70,70,2.6,7.3,0.4,0.1,0.5,10,0.6,4.5,2,0.3,1.4,-180,-80,0.1,0,2,0.02,1.5,7.28,0,0,,9,88.889,1,0.2901,45.61,37.99
54,Index_54_Parallel.png,Index_54_Back.png,Index_54_Front.png,Index_54_Top.png,30,29,2,4,0.8,1,2.9,35,1.9,5,1,0.5,0.7,-180,-30,0.9,0.8,5,0.02,1.3,0.98,0,0,,5,83.642,0.987654,0.858,72.08,16.83
55,Index_55_Parallel.png,Index_55_Back.png,Index_55_Front.png,Index_55_Top.png,55,38,1.9,7.8,0.8,0.1,0,30,1.4,5.8,1,0.1,0.3,-180,70,2,1,4,0.8,1.1,1.8,0.3,0.4,,2,81.413,0.669753,1,79.09,11.31
56,Index_56_Parallel.png,Index_56_Back.png,Index_56_Front.png,Index_56_Top.png,65,44,2.3,7.6,0.7,0.2,0.1,35,1.6,5.9,0.8,0.2,0.1,-180,30,0.3,0.3,7,0.4,0.6,0.87,0.2,0,,10,85.46,1,0.4444,52.02,27.53
57,Index_57_Parallel.png,Index_57_Back.png,Index_57_Front.png,Index_57_Top.png,35,31,1.8,5.2,0.8,2.4,0.3,20,0.9,6,0.9,0.2,0,-180,-80,1.2,0,6,0.1,0.3,0.94,0,0.05,,2,85.562,1,0.7315,65.06,34.84
58,Index_58_Parallel.png,Index_58_Back.png,Index_58_Front.png,Index_58_Top.png,45,39,2,6.1,1,0.2,1.6,20,1.5,3.6,0.9,1.2,1.4,-180,-60,0.7,0.5,3,0.4,1.5,2.65,0.3,0,,7,85.494,1,0.5895,59.21,29.56
59,Index_59_Parallel.png,Index_59_Back.png,Index_59_Front.png,Index_59_Top.png,70,53,2.6,7.3,0.4,0.4,0.2,10,0.8,3.4,2,0.6,2.2,-180,-10,1.6,0.6,7,0.3,0.9,0.92,0.25,0,,21,82.888,0.996914,0.7438,70.25,19.23
60,Index_60_Parallel.png,Index_60_Back.png,Index_60_Front.png,Index_60_Top.png,50,30,1.8,7.5,0.9,0.4,0,15,1.2,3.4,0.9,1.4,1.4,-180,0,0.5,0.7,6,0.6,0.2,0.9,0.1,0.05,,1,84.499,1,0.6667,66.44,37.2
61,Index_61_Parallel.png,Index_61_Back.png,Index_61_Front.png,Index_61_Top.png,45,31,2.4,5.1,0.6,0.1,2.7,40,1.8,6,0.9,0.1,0.1,-180,50,1.5,0.1,3,0.8,0.6,1.75,0.1,0.15,,2,83.333,1,0.8827,70.82,20.51
62,Index_62_Parallel.png,Index_62_Back.png,Index_62_Front.png,Index_62_Top.png,50,32,1.9,7.1,0.9,0.6,0.2,25,1.3,5.2,0.9,0.2,0.8,-180,0,1,0.5,6,0.5,0.8,0.92,0.05,0.05,,9,82.853,1,0.7747,70.9,23.05
63,Index_63_Parallel.png,Index_63_Back.png,Index_63_Front.png,Index_63_Top.png,30,29,2,4,0.8,1.7,2.2,10,0.8,3.4,2,1.2,1.6,-180,80,1.9,0.2,5,0.02,1.4,0.98,0,0,,5,80.898,0.098765,0.9506,71.13,7.39
64,Index_64_Parallel.png,Index_64_Back.png,Index_64_Front.png,Index_64_Top.png,30,29,1.3,6.2,0.9,0,1.7,10,0.8,3.4,2,0.9,1.9,-180,80,2,0,7,0.02,1.2,1.01,0,0,,3,80.83,0.256173,0.9228,74.28,11.34
65,Index_65_Parallel.png,Index_65_Back.png,Index_65_Front.png,Index_65_Top.png,30,29,1.3,6.2,0.8,1.6,0.1,10,0.8,3.4,2,0.7,2.1,-180,80,1.9,0.9,7,0.02,1.5,1.01,0,0,,4,80.384,0.027778,1,65.4,3.48
