in:Index,out:WWR_Skylight,out:WWR_Skylight_Vertical_Shading_Divided,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Overhang_Angle,out:Overhang_Length,out:Overhang_Movement_Distance,out:Vertical_Shading_Number,out:Vertical_Shading_Width,out:Vertical_Shading_Length,out:W_Skylight_Vertical_Shading_Divided,out:Vertiacl_Shading_Top_Left_Movement_Distance,out:Vertiacl_Shading_Top_Right_Movement_Distance,out:EUI(old),out:EUI,out:sDA,out:sGA,out:UDI,out:SVF
130,35,30,2.2,4.3,0.8,3.5,0.1,10,0.8,3.4,2,0.8,2,0,-80,1.3,0.5,3,1.1,1,1.85,0.15,0.15,81.55,83.676,0.608025,0.953704,76.615988,29.325425
131,70,66,2.6,7.3,0.4,0.1,0.5,10,0.8,3.4,2,1.3,1.5,0,-60,1.2,0.6,5,0.1,0.2,1.72,0.1,0,82.236,84.362,1,0.833333,67.374599,41.883093
132,30,29,2,4,0.8,0.6,3.3,10,0.8,3.4,2,2.6,0.2,0,-80,0.9,0.1,5,0.2,0.1,0.98,0,0,81.481,83.642,0.796296,0.941358,76.845247,39.644425
133,40,33,2.6,4.2,0.4,1,2.7,10,0.6,4.5,2,1,0.7,0,-80,1.1,0.7,5,0.2,0.1,0.85,0.05,0.1,81.447,83.642,0.932099,0.947531,77.384938,40.030189
134,60,54,2.6,6.2,0.4,1.2,0.5,10,0.6,4.5,2,0.2,1.5,0,-80,0.7,0.3,7,0.1,0.3,0.93,0,0.05,82.888,85.082,1,0.898148,73.809568,36.000566
135,60,32,2.1,7.7,0.9,0,0.2,15,1.2,3.4,0.8,0.4,2.4,0,-60,1.6,0.5,5,1,0.2,1.02,0.1,0.35,81.207,83.23,0.993827,0.907407,76.208272,39.928316
136,65,53,2.3,7.6,0.7,0.2,0.1,35,1.6,5.9,0.8,0,0.3,0,-40,1.2,0.1,8,0.2,0.7,0.89,0.1,0.1,83.162,85.151,1,0.830247,62.887963,26.344909
137,30,29,2,4,1,2.5,1.4,10,0.6,4.5,2,0,1.7,0,-80,1,0,2,0.02,0.1,3.98,0,0,82.407,84.705,0.895062,0.929012,77.499105,40.033741
138,45,40,1.6,7.6,1,0.1,0.2,25,1.2,5.6,1,0.4,0.2,0,-60,1.4,0.2,9,0.1,0.5,0.85,0,0.05,81.584,83.539,1,0.95679,74.858981,28.322439
139,35,34,1.8,5.2,0.8,1.1,1.6,35,1.6,5.9,0.8,0.1,0.2,0,-80,1.4,0.6,6,0.02,0.2,1.02,0,0,83.265,85.357,1,0.817901,67.124815,33.313494
140,50,34,1.8,7.5,1,0.3,0.1,20,1.3,4.2,0.8,1.9,0.1,0,-80,1.7,0.7,3,1.2,0.1,2.55,1.05,0.15,83.162,85.322,1,0.848765,72.681883,39.358161
141,70,54,2.5,7.6,0.5,0,0.3,10,0.6,4.5,2,0,1.7,0,-80,0.5,0,3,0.9,1,2.9,0.25,0.05,83.162,85.357,1,0.885802,73.161821,34.978607
142,30,29,2,4,0.9,2.9,1,10,0.8,3.4,2,0.3,2.5,0,-80,0.9,0,2,1.2,0.1,3.98,0,0,82.373,84.671,0.833333,0.929012,76.82608,40.346303
143,50,31,2.6,5.2,0.4,1.5,1.2,10,0.6,4.5,2,0.9,0.8,0,-80,0.9,0.5,5,0.5,0.1,0.8,0.3,0.2,81.413,83.539,0.898148,0.938272,77.956111,39.443119
144,30,29,2,4,1,0.8,3.1,10,0.6,4.5,2,1.2,0.5,0,-80,1.5,0.5,5,0.2,0.1,0.98,0,0,81.447,83.573,0.876543,0.941358,77.885432,39.04269
145,40,30,2.2,4.9,0.8,0.9,2.1,10,0.8,3.4,2,1,1.8,0,-80,1.5,0.7,4,0.4,0.1,1.23,0.15,0.25,82.133,84.328,0.904321,0.938272,77.137623,39.996655
146,45,34,2.6,4.7,0.4,1,2.2,10,0.6,4.5,2,1,0.7,0,-80,0.4,0,5,0.3,0.1,0.87,0,0.25,81.379,83.505,0.932099,0.944444,77.349691,40.050567
147,55,32,2.6,5.7,0.4,1.3,0.9,10,0.6,4.5,2,0.2,1.5,0,-80,0.5,0.1,3,1.2,0.1,1.65,0.1,0.75,82.545,84.774,0.907407,0.938272,77.876821,40.027905
148,45,34,2.6,4.7,0.4,2.9,0.3,30,1.4,5.8,1,0.3,0.1,0,-20,1.6,0.1,5,0.3,0.8,0.87,0.15,0.05,81.653,83.642,1,0.950617,76.171235,23.355937
149,30,30,1.8,4.5,1,0.4,3,25,1.8,3.8,1,1.6,0.8,0,-80,1.4,0.4,2,0.8,1,4.48,0,0,82.545,84.671,1,0.91358,75.480586,30.27076
150,35,34,1.3,7.3,1,0.6,0,10,0.8,3.4,2,0.7,2.1,0,-40,1.7,0.1,9,0.02,0.1,0.89,0,0,81.413,83.573,0.910494,0.92284,76.887191,38.221746
151,30,29,1.3,6.2,0.8,1,0.7,10,0.8,3.4,2,0.6,2.2,0,-80,0.9,0.1,7,0.2,1,1.01,0,0,81.036,83.059,0.41358,0.969136,77.386327,19.795687
152,70,45,2.5,7.6,0.5,0,0.3,10,0.6,4.5,2,0.8,0.9,0,-80,1,0.5,4,0.9,1,1.63,0.25,0.65,82.785,84.877,0.996914,0.929012,76.389907,33.725952
153,40,36,1.4,7.7,1,0,0.2,40,1.8,6,0.9,0.1,0.1,0,-60,1.4,0.2,9,0.1,0.4,0.86,0.05,0,82.099,84.019,1,0.867284,68.71287,26.659824
154,35,31,1.3,7.3,1,0,0.6,15,0.7,5.8,2,0.4,0,0,-80,1,0,5,1,0.3,1.62,0.05,0.15,81.619,83.711,0.972222,0.916667,77.552315,34.11224
155,40,33,2.6,4.2,0.4,0.8,2.9,10,0.6,4.5,2,1.2,0.5,0,-80,0.5,0.1,5,0.2,0.1,0.85,0.05,0.15,81.55,83.779,0.916667,0.944444,77.308395,39.912582
156,40,31,2.6,4.2,0.4,3.2,0.5,10,0.6,4.5,2,1.2,0.5,0,-80,0.5,0.1,3,1.1,0.1,1.6,0.1,0.05,82.476,84.774,0.824074,0.947531,77.19213,39.39585
157,70,50,2.5,7.6,0.5,0,0.3,25,1.7,4,0.9,1.6,0.6,0,-40,0.9,0.1,3,1.1,0.6,2.7,0.05,0.15,83.642,85.768,1,0.83642,67.769846,34.330935
158,35,35,1.4,6.8,0.9,0.8,0.3,40,1.8,6,0.8,0,0.2,0,-70,1.2,0.2,8,0.02,0.7,0.95,0,0,82.716,84.705,1,0.867284,69.745154,23.586012
159,30,29,2,4,0.9,2.4,1.5,10,0.8,3.4,2,1.5,1.3,0,-70,1.1,0.1,5,0.1,1,0.98,0,0,80.693,82.716,0.450617,0.990741,77.875062,19.399238
160,30,29,2,4,0.9,0.4,3.5,10,0.8,3.4,2,0.3,2.5,0,-60,1,0,5,0.2,0.4,0.98,0,0,81.036,83.128,0.685185,0.962963,78.077932,29.862523
161,60,44,2.5,6.5,0.5,1.1,0.3,25,1.7,4,0.9,0.3,1.9,0,-70,0.5,0,3,0.9,0.1,2.35,0.15,0.75,83.745,86.043,1,0.833333,68.184321,38.403299
162,70,57,2.5,7.6,0.5,0.1,0.2,30,1.4,5.8,0.8,0.4,0,0,-50,1.4,0.6,8,0.2,0.8,0.89,0.05,0.1,82.853,84.808,1,0.873457,67.091821,25.257466
163,30,29,2,4,1,0.2,3.7,10,0.8,3.4,2,2.5,0.3,0,-80,1,0,2,1.1,0.1,3.98,0,0,82.339,84.671,0.839506,0.932099,77.165278,40.315773
164,70,69,2.5,7.6,0.5,0.2,0.1,15,1.2,3.4,0.9,1.6,1.2,0,-60,0.5,0,9,0.02,0.4,0.93,0,0,81.859,83.848,1,0.814815,66.346235,33.499614
165,40,33,2.3,4.7,0.7,1.6,1.6,15,0.7,5.8,2,0.3,0.1,0,-70,1.4,0.6,5,0.3,0.8,0.97,0.1,0,80.933,82.956,0.891975,0.975309,78.842407,22.035473
166,35,31,1.6,5.9,0.9,0.6,1.4,10,0.8,3.4,2,0,2.8,0,-60,1,0,4,0.9,0.1,1.77,0.1,0.1,82.407,84.671,0.916667,0.929012,76.496574,40.143445
167,55,32,2.6,5.7,0.4,0.2,2,10,0.6,4.5,2,1.2,0.5,0,-80,0.5,0.1,3,1.2,0.1,1.65,0.15,0.75,82.545,84.774,0.925926,0.941358,77.840957,39.836044
168,30,29,2,4,1,2.9,1,20,1.5,3.6,0.8,1,1.6,0,-60,1.1,0,5,0.2,0.1,0.98,0,0,81.893,84.053,0.990741,0.891975,74.762901,37.748282
169,70,48,2.5,7.6,0.5,0.3,0,25,2,3.4,0.8,1.8,1,0,-70,0.5,0,7,0.4,0.6,0.87,0.1,0.3,83.333,85.425,1,0.864198,70.748488,30.156064
170,30,30,1.9,4.3,0.8,0.2,3.4,10,0.7,3.9,2,1.3,1,0,-70,1.1,0.3,5,0.2,0.6,1.06,0,0,80.898,82.956,0.626543,0.959877,77.54821,25.955556
171,65,53,2.3,7.6,0.7,0.3,0,10,0.6,4.5,2,1.2,0.5,0,-80,0.8,0.1,8,0.2,1,0.89,0,0.2,81.859,83.916,0.972222,0.929012,77.138117,22.080147
172,45,44,1.6,7.6,1,0.3,0,40,1.8,6,0.8,0.1,0.1,0,-70,1.2,0.1,2,0.1,0.9,7.5,0.05,0.05,84.156,86.351,1,0.743827,55.171204,33.300455
173,60,51,2.1,7.7,0.9,0.1,0.1,10,0.8,3.4,2,0.5,2.3,0,-80,1.2,0.3,2,1.2,0.2,6.5,0.75,0.45,83.539,85.871,1,0.842593,70.679537,43.060133
174,55,40,2.6,5.7,0.4,0,2.2,10,0.6,4.5,2,1.1,0.6,0,-80,0.5,0.1,6,0.3,0.1,0.84,0.2,0.05,82.682,84.911,0.987654,0.929012,75.897222,41.369384
175,35,30,2.2,4.3,0.8,0.4,3.2,10,0.6,4.5,2,0.8,0.9,0,-80,0.9,0.1,3,1.2,0.1,1.85,0.05,0.15,82.476,84.739,0.901235,0.932099,76.786389,39.601431
176,40,33,2,5.4,1,1.8,0.7,10,0.8,3.4,2,1.7,1.1,0,-70,1.7,0.6,6,0.2,0.2,0.88,0.1,0,82.167,84.294,0.907407,0.941358,78.125525,37.20799
177,45,36,2.4,5.1,0.6,0.2,2.6,35,1.8,5.2,0.9,0,1,0,-20,1.7,0,6,0.2,0.4,0.82,0,0.1,82.682,84.671,1,0.904321,71.58071,25.896649
178,30,30,1.9,4.3,0.9,0,3.6,10,0.6,4.5,2,0.1,1.6,0,-60,1.2,0.1,5,0.02,0.6,1.06,0,0,80.967,82.956,0.626543,0.969136,78.134537,25.809932
179,50,46,1.8,7.5,0.8,0.1,0.3,20,1.5,3.6,1,1.3,1.3,0,-80,0.9,0.1,7,0.1,0.6,1.15,0,0.1,82.75,84.842,1,0.898148,72.873642,29.683135
180,30,29,2,4,0.8,0.5,3.4,10,0.6,4.5,2,0.4,1.3,0,-80,0.8,0,5,0.1,1,0.98,0,0,80.761,82.785,0.462963,0.981481,77.626543,19.44614
181,45,41,2.5,4.9,0.5,1.1,1.9,15,0.7,5.8,2,0,0.4,0,-60,0.5,0,6,0.1,0.4,0.88,0.05,0.05,82.407,84.602,0.990741,0.944444,77.018117,30.297813
182,40,32,2.4,4.5,0.6,0,3.4,15,1.2,3.4,0.8,0.1,2.7,0,-80,0.8,0.2,2,0.9,0.6,3.6,0.5,0.4,82.647,84.808,0.987654,0.895062,74.677685,39.811573
183,70,57,2.5,7.6,0.5,0,0.3,10,0.6,4.5,2,0.3,1.4,0,-80,1.2,0.7,8,0.2,0.5,0.89,0.1,0.1,82.819,84.877,1,0.901235,73.722099,32.481019
184,50,49,2.2,6.1,0.8,1,0.8,30,1.5,5.4,0.9,0.1,0.7,0,-60,1.6,0.6,7,0.02,0.6,1,0,0,82.853,84.877,1,0.845679,68.292685,26.523104
185,65,64,2.5,7,0.5,0.7,0.2,40,1.8,6,0.9,0.2,0,0,-80,0.6,0.1,8,0.02,0.4,0.98,0,0,84.191,86.317,1,0.743827,51.103364,29.448
186,60,34,2.2,7.4,0.8,0.5,0,20,0.9,6,0.9,0.1,0.1,0,-70,0.8,0,5,0.8,0.8,1.05,0.45,0.35,81.31,83.265,1,0.882716,74.484012,33.199739
187,40,33,2.6,4.2,0.4,2.3,1.4,10,0.8,3.4,2,0.2,2.6,0,-80,0.6,0.2,5,0.2,0.1,0.85,0.05,0,81.447,83.642,0.885802,0.947531,77.467685,40.466474
188,70,63,2.5,7.6,0.5,0.1,0.2,10,0.8,3.4,2,1.3,1.5,0,-60,0.6,0.1,9,0.1,0.1,0.85,0,0.1,82.167,84.362,1,0.82716,67.815926,44.169538
189,50,49,2.5,5.4,0.5,0.8,1.7,15,0.7,5.8,2,0.4,0,0,-70,0.6,0.1,6,0.02,1,1.06,0,0,81.859,83.951,0.972222,0.944444,77.691235,20.579384
190,70,63,2.5,7.6,0.5,0.2,0.1,10,0.8,3.4,2,0.8,2,0,-40,1,0,9,0.1,0.7,0.85,0.1,0,81.036,83.059,1,0.947531,75.847253,25.24186
191,70,63,2.5,7.6,0.5,0,0.3,10,0.8,3.4,2,0.3,2.5,0,-70,1.1,0.5,9,0.1,0.8,0.85,0.05,0.05,80.967,82.922,0.996914,0.916667,76.173272,24.128887
192,40,36,2,5.4,0.8,1.8,0.7,20,0.9,6,0.9,0,0.2,0,-60,1.5,0.5,2,0.5,0.8,4.9,0.1,0.35,82.785,84.945,1,0.839506,71.189969,37.014891
193,30,30,1.7,4.8,1,1.3,1.8,20,0.9,6,1,0,0.2,0,-60,1.3,0.1,2,1,0.4,4.78,0,0,82.647,84.877,1,0.885802,75.277901,37.49458
194,70,63,2.5,7.6,0.5,0.3,0,30,1.4,5.8,1,0.2,0.2,0,-40,1.4,0.3,9,0.1,0.9,0.85,0.1,0,81.653,83.642,1,0.941358,69.43963,22.019338
195,35,32,2.2,4.3,0.8,1.9,1.7,10,0.8,3.4,2,1.8,1,0,-60,1,0.1,5,0.2,0.1,0.98,0.05,0.05,81.481,83.711,0.916667,0.935185,76.816358,40.093177
196,30,29,2,4,0.8,1.9,2,10,0.8,3.4,2,0.5,2.3,0,-70,0.8,0,2,1.1,0.8,3.98,0,0,81.927,84.191,0.820988,0.947531,77.316914,34.136561
197,35,32,2.2,4.3,0.8,2.9,0.7,10,0.8,3.4,2,0.8,2,0,-70,0.9,0.1,5,0.2,0.1,0.98,0,0.05,81.516,83.711,0.83642,0.929012,76.428086,40.584146
198,40,36,1.7,6.4,0.9,0.9,0.6,40,1.8,6,0.8,0.2,0,0,-60,1.7,0.6,8,0.1,0.5,0.81,0,0.1,83.025,85.014,1,0.851852,67.775895,26.309515
199,60,55,2.1,7.7,0.9,0,0.2,35,1.6,5.9,0.9,0.1,0.2,0,-70,1.1,0.1,3,0.3,0.4,3.55,0.05,0.25,84.568,86.831,1,0.709877,49.430525,36.311662
200,70,59,2.6,7.3,0.4,0.2,0.4,10,0.8,3.4,2,0,2.8,0,-80,0.5,0.1,2,1.2,0.1,6.1,0,1.2,83.951,86.385,1,0.848765,69.70287,43.87563
201,35,30,1.4,6.8,0.8,0.4,0.7,30,1.4,5.8,0.9,0.3,0.1,0,-40,1.7,0.3,6,0.5,0.6,1.16,0.1,0.1,82.442,84.396,1,0.873457,72.583642,28.437948
202,45,37,1.9,6.4,0.9,1.2,0.3,15,1.2,3.4,0.8,0.8,2,0,-80,1,0.1,3,0.6,0.5,2.6,0.45,0,82.613,84.705,0.996914,0.87963,73.305833,38.912727
203,70,63,2.6,7.3,0.4,0.2,0.4,30,1.8,4.5,0.9,1.2,0.5,0,-70,0.5,0,9,0.1,0.3,0.81,0.05,0,82.476,84.396,1,0.799383,59.221605,32.853428
204,50,34,1.8,7.5,1,0,0.4,15,1.2,3.4,0.9,2.5,0.3,0,-80,1.3,0.3,7,0.4,0.1,0.85,0.2,0.2,82.785,84.945,1,0.876543,75.287006,41.217874
205,70,48,2.5,7.6,0.5,0.2,0.1,10,0.8,3.4,2,0.4,2.4,0,-80,1.1,0.6,3,1.2,0.1,2.6,0.85,0.35,83.539,85.837,1,0.87963,73.379012,43.103246
206,70,57,2.5,7.6,0.5,0.2,0.1,15,1.2,3.4,0.8,1.6,1.2,0,-40,0.9,0.1,8,0.2,0.1,0.89,0,0.05,83.642,85.94,1,0.817901,66.113117,42.842118
207,70,63,2.5,7.6,0.5,0.1,0.2,20,0.9,6,0.9,0.2,0,0,-40,1,0.1,9,0.1,0.5,0.85,0,0.05,81.722,83.676,1,0.830247,67.226327,30.267986
208,50,41,2.5,5.4,0.5,1.2,1.3,25,1.1,6.1,0.8,0,0.1,0,-80,0.8,0.3,6,0.2,1,0.88,0.1,0.05,82.27,84.259,1,0.87037,73.283241,24.500985
209,30,30,1.2,6.8,0.8,0.9,0.2,10,0.6,4.5,2,1,0.7,0,-80,0.8,0,3,1.2,0.1,3.38,0,0,82.373,84.739,0.845679,0.916667,75.56821,39.347668
210,40,32,2.6,4.2,0.4,0.5,3.2,10,0.6,4.5,2,1.2,0.5,0,-80,1,0.6,4,0.6,0.1,1.1,0.1,0.1,82.442,84.705,0.898148,0.947531,77.325432,39.87782
211,70,63,2.5,7.6,0.5,0,0.3,10,0.8,3.4,2,1.5,1.3,0,-50,0.8,0.1,9,0.1,0.2,0.85,0.05,0.05,81.893,83.951,1,0.848765,69.183241,40.97901
212,50,40,1.9,7.1,0.9,0.3,0.5,35,1.6,5.9,0.8,0.1,0.2,0,-70,1.7,0.7,8,0.2,0.8,0.81,0.1,0,82.442,84.362,1,0.904321,71.515494,23.595462
213,30,29,2,4,1,2.3,1.6,10,0.8,3.4,2,0,2.8,0,-70,1.3,0.2,5,0.02,0.8,0.98,0,0,80.796,82.819,0.567901,1,78.461481,21.83084
214,70,63,2.5,7.6,0.5,0,0.3,15,1.2,3.4,0.8,1.8,1,0,-60,0.7,0.1,9,0.1,0.1,0.85,0.05,0,82.407,84.499,1,0.790123,62.898086,44.426581
215,30,30,1.7,4.8,0.8,0.3,2.8,35,1.6,5.9,0.8,0.2,0.1,0,-40,1.2,0,5,0.4,0.3,1.18,0,0,82.339,84.328,1,0.848765,69.536636,30.338111
216,35,31,1.6,5.9,0.9,0.9,1.1,10,0.6,4.5,2,0.9,0.8,0,-80,0.9,0,4,0.6,0.1,1.77,0,0.1,82.476,84.739,0.916667,0.932099,76.49679,39.920987
217,70,63,2.5,7.6,0.5,0.2,0.1,10,0.8,3.4,2,1.9,0.9,0,-80,0.6,0.1,9,0.1,0.1,0.85,0,0,82.167,84.328,1,0.833333,68.414167,44.334777
218,70,63,2.5,7.6,0.5,0.3,0,20,1.2,4.5,0.8,1.2,0.5,0,-70,0.6,0.1,9,0.1,0.1,0.85,0.1,0,82.613,84.739,1,0.756173,58.882531,43.401647
219,70,70,2.5,7.6,0.5,0.3,0,15,1.2,3.4,1,2.1,0.7,0,-60,0.7,0,2,0.02,0.5,7.58,0,0,84.362,86.831,1,0.771605,59.595247,42.184903
220,70,63,2.5,7.6,0.5,0.3,0,10,0.8,3.4,2,1.5,1.3,0,-70,0.6,0.1,9,0.1,0.1,0.85,0,0,82.064,84.191,1,0.83642,68.533056,44.19051
221,70,57,2.5,7.6,0.5,0.1,0.2,30,2,4,0.8,1.3,0.9,0,-70,0.5,0,8,0.2,0.9,0.89,0.1,0.1,82.888,84.877,1,0.851852,68.81321,23.927037
222,40,40,2.6,4.2,0.4,0.9,2.8,10,0.6,4.5,2,1,0.7,0,-80,0.9,0.5,5,0.02,0.1,1.03,0,0,81.687,83.882,0.984568,0.92284,76.327068,41.502874
223,50,45,2.6,5.2,0.4,2,0.7,10,0.6,4.5,2,1.2,0.5,0,-80,0.9,0.5,6,0.1,0.1,0.94,0.05,0.05,83.025,85.322,0.996914,0.907407,74.376883,42.188617
224,70,70,2.6,7.3,0.4,0,0.6,40,2,5.4,1,0,0.8,0,-80,0.5,0.1,2,0.02,1,7.28,0,0,85.014,87.414,1,0.688272,43.699691,33.580928
225,45,34,2.6,4.7,0.4,1.2,2,20,1.5,3.6,1,0.2,2.4,0,-40,1,0,5,0.3,0.7,0.87,0.15,0.05,81.07,83.025,0.975309,0.966049,78.124599,25.710215
226,30,29,2,4,1,0.8,3.1,10,0.6,4.5,2,0.7,1,0,-80,1,0,5,0.2,0.1,0.98,0,0,81.516,83.676,0.882716,0.941358,77.907006,39.047373
227,40,37,2.6,4.2,0.4,1,2.7,10,0.6,4.5,2,0.4,1.3,0,-80,0.9,0.5,5,0.1,0.1,0.95,0.05,0.05,81.722,83.882,0.975309,0.929012,76.765432,41.015948
228,50,41,2.5,5.4,0.5,2.1,0.4,15,0.9,4.5,0.8,0.1,1.6,0,-70,1.3,0.7,6,0.2,0.8,0.88,0.05,0.05,81.893,83.916,0.925926,0.919753,75.78429,26.496359
229,70,63,2.5,7.6,0.5,0.3,0,20,1.2,4.5,1,1.5,0.2,0,-50,0.9,0.1,9,0.1,0.1,0.85,0,0.1,82.545,84.705,1,0.79321,60.381204,41.818034
230,35,32,1.3,7.3,1,0.3,0.3,20,0.9,6,0.9,0,0.2,0,-80,1.7,0.7,7,0.4,0.5,1.12,0,0.1,82.27,84.328,1,0.882716,75.193704,32.044101
231,70,70,2.5,7.6,0.5,0.3,0,30,1.4,5.8,1,0,0.4,0,-80,1,0.5,5,0.02,1,1.88,0,0,82.373,84.362,1,0.765432,55.102253,28.575418
232,40,30,1.7,6.4,0.9,0.9,0.6,35,1.8,5.2,0.8,0.6,0.4,0,-60,1.1,0,5,0.8,0.3,1.2,0.3,0.05,82.099,84.053,1,0.845679,69.863488,31.926962
233,30,29,1.3,6.2,0.9,0.2,1.5,10,0.8,3.4,2,1.8,1,0,-80,0.9,0,7,0.2,0.1,1.01,0,0,82.167,84.396,0.82716,0.929012,76.662191,40.453573
234,65,46,2.3,7.6,0.7,0,0.3,10,0.8,3.4,2,0.3,2.5,0,-70,0.9,0.1,3,1.1,0.1,2.7,0,0,83.333,85.597,1,0.882716,73.624383,42.828084
235,70,33,2.5,7.6,0.5,0.3,0,10,0.8,3.4,2,2,0.8,0,-30,1.5,0.1,5,1,0.4,0.9,0.4,0.2,80.727,82.785,0.882716,0.981481,79.398765,34.224582
236,70,69,2.6,7.3,0.4,0.2,0.4,10,0.8,3.4,2,0.7,2.1,0,-40,0.9,0,9,0.02,1,0.89,0,0,80.864,82.888,0.987654,0.987654,77.607654,18.96613
237,70,69,2.5,7.6,0.5,0.2,0.1,15,1.2,3.4,0.8,2.8,0,0,-70,0.8,0.2,7,0.02,0.1,1.25,0,0,84.362,86.763,1,0.756173,59.123241,44.930593
238,50,35,2.3,5.9,0.7,1.8,0.2,10,0.8,3.4,2,0.9,1.9,0,-80,1,0.3,3,0.9,0.1,2.05,0.45,0.45,82.819,85.082,0.935185,0.919753,76.080154,41.178256
239,50,32,2.3,5.9,0.7,0.4,1.6,10,0.6,4.5,2,0.7,1,0,-80,1,0.3,3,1.2,0.1,1.85,0.45,0.5,82.682,84.911,0.935185,0.935185,77.344352,39.794692
240,30,30,1.6,5.1,0.9,0,2.8,40,1.9,5.7,1,0.5,0,0,-30,1.8,0,6,0.2,0.6,1,0,0,82.545,84.534,1,0.947531,73.440463,21.840437
241,70,63,2.5,7.6,0.5,0.3,0,10,0.8,3.4,2,1.3,1.5,0,-40,0.8,0,9,0.1,0.2,0.85,0.05,0,81.722,83.779,1,0.861111,69.904877,39.850697
242,50,30,2.4,5.6,0.6,0.2,2.1,30,1.9,4.3,0.8,0.7,1.2,0,-50,1.6,0.7,3,1.2,0.4,1.7,0.05,0.2,82.716,84.808,1,0.904321,73.277901,30.38914
243,30,29,2,4,1,2.1,1.8,15,0.7,5.8,2,0.3,0.1,0,-80,1.1,0.1,5,0.2,0.7,0.98,0,0,81.104,83.128,0.802469,0.984568,79.201142,22.18622
244,35,34,2.2,4.3,0.8,0.8,2.8,10,0.8,3.4,2,0.8,2,0,-80,1.6,0.8,5,0.02,0.1,1.06,0,0,81.447,83.608,0.947531,0.925926,76.436883,41.057491
245,70,63,2.5,7.6,0.5,0.2,0.1,15,1.2,3.4,0.8,1.2,1.6,0,-60,0.7,0.1,9,0.1,0.4,0.85,0,0.05,81.687,83.676,1,0.83642,68.303086,33.728836
246,30,29,1.8,4.5,0.9,1.2,2.2,10,0.8,3.4,2,1.8,1,0,-80,1,0.1,5,0.3,0.1,1.1,0,0,81.447,83.608,0.867284,0.941358,77.13821,40.577517
247,70,47,2.6,7.3,0.4,0,0.6,15,1.2,3.4,0.9,0,2.8,0,-50,0.8,0,4,0.8,0.8,1.63,0.1,0.7,82.99,85.185,1,0.888889,73.360309,35.582973
248,50,49,2.3,5.9,0.7,0.6,1.4,10,0.8,3.4,2,1,1.8,0,-80,1.4,0.7,7,0.02,0.1,0.96,0,0,83.059,85.322,1,0.882716,72.754907,42.840704
249,30,29,2,4,1,0.8,3.1,10,0.6,4.5,2,1.2,0.5,0,-80,1.3,0.3,3,0.9,0.1,1.98,0,0,82.236,84.568,0.898148,0.935185,77.631605,39.41838
250,30,29,1.4,5.8,1,0.9,1.2,10,0.7,3.9,2,1,1.3,0,-60,1.4,0.2,7,0.1,0.8,0.95,0,0,81.104,83.162,0.570988,1,78.95716,20.873892
251,60,53,2.3,7,0.7,0.7,0.2,25,1.1,6.1,1,0.1,0,0,-60,1.2,0.3,3,0.4,0.6,3.1,0.25,0.15,83.882,86.043,1,0.783951,61.764907,37.099011
252,35,30,2.2,4.3,0.8,2.1,1.5,10,0.8,3.4,2,1.3,1.5,0,-80,0.8,0,2,0.8,0.1,3.7,0.5,0.1,82.442,84.739,0.882716,0.935185,76.8625,40.304027
253,35,31,1.9,5,0.8,0.4,2.5,35,1.6,5.9,0.8,0,0.3,0,-60,1.3,0.3,4,0.7,0.5,1.47,0.1,0.05,82.99,85.048,1,0.848765,69.155216,30.189851
254,70,57,2.5,7.6,0.5,0.1,0.2,10,0.8,3.4,2,0,2.8,0,-70,0.7,0.1,8,0.2,0.6,0.89,0,0.1,82.373,84.431,0.996914,0.916667,75.558796,28.028167
